id;nom;prix;description;img
1;Sweat H;39.99€;Le sweat homme à capuche tendance et éco-responsable est fabriqué avec 80% de coton biologique et 20% de polyester recyclé. Sa capuche doublée avec cordon et sa bande de propreté en chevron garantissent un confort optimal.;Sweat-bleu-h.jpg
2;POLO (enfant);19.99€;Polo enfant à manches courtes, en coton peigné prérétréci pour une durabilité maximale. Coupe ajustée et confortable. Patte de boutonnage ton sur ton, col et manches en bord-côte. Finition soignée avec ourlet double surpiqûres, sans étiquette de marque. Grammage 180g/m²;Polo-bleu.jpg
